epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_neg_p01,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_checkpoint_selection_score,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
65,0.18,0.002332,0.7277,0.9458,0.2179,0.5323,0.9344,1.407,1.166,0.0002429,0.9381,0.7948,8192,0,0.02314,0.7995,61
66,0.1788,0.002311,0.7259,0.9483,0.2189,0.5365,0.9429,1.407,1.172,0.0002031,0.9371,0.7936,8192,0,0.02197,0.7995,62
67,0.1784,0.002293,0.7261,0.9485,0.2173,0.5322,0.9336,1.407,1.169,0.0002151,0.9404,0.7949,8192,0,0.02083,0.7995,63
68,0.1778,0.002316,0.7272,0.9489,0.2185,0.5335,0.9417,1.405,1.166,0.0002668,0.9365,0.7938,8192,0,0.0197,0.7995,64
69,0.1776,0.002227,0.7248,0.9438,0.2181,0.5354,0.9376,1.407,1.169,0.0002151,0.9365,0.7942,8192,0,0.0186,0.7995,65
70,0.175,0.002159,0.7206,0.9397,0.2184,0.536,0.9369,1.407,1.172,0.0002151,0.9352,0.7942,8192,0,0.01752,0.7995,66
71,0.1751,0.002252,0.7246,0.9436,0.2182,0.5354,0.9405,1.407,1.171,0.0002031,0.9384,0.794,8192,0,0.01646,0.7995,67
72,0.1739,0.002149,0.7226,0.9366,0.2176,0.5348,0.9352,1.407,1.171,0.0002031,0.936,0.7945,8192,0,0.01543,0.7995,68
73,0.1721,0.002082,0.7196,0.9374,0.2175,0.5351,0.9333,1.407,1.17,0.0002151,0.939,0.7946,8192,0,0.01443,0.7995,69
74,0.1727,0.002178,0.721,0.9452,0.2179,0.5355,0.9343,1.407,1.171,0.0001912,0.9375,0.7944,8192,0,0.01345,0.7995,70
75,0.1718,0.002112,0.7215,0.9369,0.2169,0.535,0.9347,1.407,1.173,0.000223,0.9412,0.7946,8192,0,0.0125,0.7995,71
76,0.1701,0.00203,0.7165,0.9382,0.2159,0.5355,0.9483,1.408,1.174,0.0002708,0.9349,0.7937,8192,0,0.01157,0.7995,72
77,0.1697,0.002043,0.7168,0.9385,0.2168,0.5346,0.9376,1.407,1.172,0.000231,0.9342,0.7944,8192,0,0.01068,0.7995,73
78,0.169,0.002081,0.72,0.9381,0.2168,0.5349,0.9382,1.408,1.171,0.000219,0.9399,0.7945,8192,0,0.00982,0.7995,74
79,0.1677,0.001946,0.7151,0.9303,0.2167,0.5353,0.9328,1.407,1.172,0.0002111,0.9391,0.7947,8192,0,0.00899,0.7995,75
80,0.167,0.001985,0.716,0.9324,0.2182,0.5378,0.9394,1.408,1.172,0.0002071,0.943,0.7939,8192,0,0.008193,0.7995,76
81,0.1663,0.001984,0.7156,0.9302,0.217,0.5368,0.9403,1.408,1.172,0.0002549,0.9397,0.794,8192,0,0.007429,0.7995,77
82,0.1645,0.001867,0.7101,0.9339,0.2169,0.5357,0.9388,1.408,1.173,0.000223,0.9434,0.7943,8192,0,0.006699,0.7995,78
83,0.166,0.002011,0.7161,0.9361,0.2167,0.5361,0.9315,1.408,1.172,0.0002429,0.9396,0.7949,8192,0,0.006005,0.7995,79
84,0.1631,0.001851,0.7109,0.9294,0.2196,0.5387,0.9411,1.407,1.172,0.0002549,0.9398,0.7934,8192,0,0.005346,0.7995,80
85,0.1639,0.001902,0.7118,0.9341,0.218,0.5365,0.9412,1.407,1.172,0.0002111,0.9401,0.7938,8192,0,0.004723,0.7995,81
86,0.1629,0.001911,0.7119,0.9307,0.2174,0.5374,0.9404,1.408,1.173,0.000219,0.9395,0.794,8192,0,0.004137,0.7995,82
87,0.1625,0.001918,0.7117,0.9361,0.2163,0.5352,0.935,1.407,1.174,0.0002031,0.9418,0.7946,8192,0,0.00359,0.7995,83
88,0.1619,0.001872,0.7115,0.9318,0.2164,0.5346,0.9325,1.407,1.172,0.0001712,0.9403,0.7949,8192,0,0.00308,0.7995,84
89,0.1611,0.001846,0.7101,0.9252,0.2159,0.5355,0.9368,1.408,1.174,0.000219,0.9402,0.7946,8192,0,0.002609,0.7995,85
90,0.1605,0.001778,0.7085,0.9253,0.2176,0.5376,0.9425,1.408,1.174,0.0002549,0.9398,0.7937,8192,0,0.002177,0.7995,86
91,0.1603,0.001747,0.7078,0.9239,0.2158,0.5353,0.9403,1.408,1.174,0.0002111,0.938,0.7943,8192,0,0.001786,0.7995,87
92,0.16,0.001806,0.7082,0.9264,0.2171,0.5363,0.9375,1.408,1.173,0.000223,0.9391,0.7943,8192,0,0.001434,0.7995,88
93,0.1593,0.001771,0.708,0.9282,0.2157,0.5348,0.9368,1.408,1.174,0.000227,0.9417,0.7946,8192,0,0.001123,0.7995,89
94,0.159,0.001785,0.7075,0.924,0.2165,0.5362,0.9384,1.408,1.174,0.0002151,0.9396,0.7943,8192,0,0.0008522,0.7995,90
95,0.1596,0.001832,0.7088,0.9277,0.2168,0.5366,0.9396,1.407,1.174,0.0001991,0.9392,0.7941,8192,0,0.0006229,0.7995,91
96,0.1584,0.001809,0.7093,0.9252,0.216,0.5357,0.933,1.408,1.175,0.0001832,0.9382,0.7948,8192,0,0.0004349,0.7995,92
97,0.1588,0.001805,0.7078,0.9259,0.2161,0.5373,0.9426,1.408,1.176,0.000227,0.9407,0.794,8192,0,0.0002886,0.7995,93
98,0.159,0.001779,0.7077,0.9258,0.2166,0.537,0.9379,1.408,1.175,0.0001951,0.9374,0.7943,8192,0,0.0001839,0.7995,94
99,0.1587,0.001718,0.7067,0.923,0.2173,0.5372,0.9355,1.408,1.173,0.0002151,0.9396,0.7944,8192,0,0.000121,0.7995,95
100,0.1585,0.001781,0.708,0.924,0.2168,0.5372,0.9398,1.407,1.176,0.0002031,0.9409,0.794,8192,0,0.0001,0.7995,96
