epoch,train_loss,train_loss_metric,train_loss_teacher_similarity,train_loss_positive_consistency,train_loss_quantization,train_loss_balance,train_loss_decorrelation,train_positive_hamming,train_mean_abs_bit_balance,train_mean_abs_continuous,train_pos_dist,train_neg_dist,train_positive_tail_loss,train_lr,train_temperature,val_pos_mean,val_pos_p95,val_pos_p99,val_valid_anchor_count,val_skipped_anchor_count,val_valid_anchor_ratio,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_roc_auc,val_eer,val_neg_mean,val_neg_p01,val_neg_p05,val_active_triplet_ratio,val_loss,val_batch_count,val_configured_finger_count,val_configured_batch_count,val_configured_batch_size,val_planned_positive_count,val_bit_one_fraction,val_bit_balance_error,val_constant_bit_ratio,val_checkpoint_selection_score,early_stop_best_selection_score,no_improve_epochs
26,0.07035,0.04452,0.004251,0.1577,0.07591,0.00739,0.01012,0.1131,0.06864,0.8613,0.6576,1.209,0.004241,0.0009371,0.6709,0.1606,0.2832,0.373,8192,0,1,0.0002748,0.9254,0.9993,0.01127,0.4934,0.3652,0.4102,0.06909,0.00273,256,7,256,32,8192,0.4955,0.04756,0,0.8233,0.824,25
27,0.07029,0.04456,0.004285,0.157,0.07539,0.007404,0.01013,0.1128,0.06869,0.8623,0.6565,1.209,0.00427,0.0009319,0.6607,0.1606,0.2812,0.3674,8192,0,1,0.0002708,0.934,0.9994,0.0104,0.4935,0.3652,0.4102,0.06616,0.002608,256,7,256,32,8192,0.4956,0.04776,0,0.8236,0.824,26
28,0.0695,0.04383,0.004317,0.1565,0.07503,0.007392,0.01014,0.1124,0.06864,0.8629,0.6553,1.209,0.004177,0.0009265,0.6506,0.1605,0.2832,0.373,8192,0,1,0.0002907,0.9344,0.9994,0.01139,0.4937,0.3652,0.4102,0.06604,0.002728,256,7,256,32,8192,0.4951,0.04632,0,0.8233,0.824,27
29,0.06836,0.04288,0.004341,0.1553,0.07427,0.00741,0.0102,0.1116,0.06873,0.8642,0.6529,1.209,0.004117,0.0009209,0.6407,0.1605,0.2832,0.3713,8192,0,1,0.0003027,0.9312,0.9994,0.01099,0.4938,0.3652,0.4102,0.06677,0.002587,256,7,256,32,8192,0.4951,0.04624,0,0.8234,0.824,28
30,0.06793,0.04254,0.004369,0.1547,0.07388,0.007427,0.01021,0.1111,0.06883,0.8648,0.6515,1.209,0.004065,0.0009151,0.631,0.1608,0.2832,0.3674,8192,0,1,0.0002828,0.9301,0.9994,0.01041,0.4937,0.3652,0.4102,0.06689,0.002573,256,7,256,32,8192,0.495,0.04674,0,0.8233,0.824,29
31,0.06777,0.04248,0.0044,0.1541,0.07328,0.007459,0.01023,0.1109,0.06896,0.8659,0.6506,1.209,0.004062,0.0009091,0.6214,0.1612,0.2832,0.373,8192,0,1,0.0002788,0.9337,0.9995,0.01135,0.4941,0.3672,0.4102,0.06677,0.002542,256,7,256,32,8192,0.495,0.04538,0,0.8233,0.824,30
32,0.06754,0.04229,0.004419,0.1538,0.07306,0.007483,0.01023,0.1107,0.06912,0.8663,0.65,1.209,0.004054,0.000903,0.6119,0.1608,0.2812,0.373,8192,0,1,0.000235,0.9323,0.9994,0.01108,0.4937,0.3652,0.4102,0.06763,0.002553,256,7,256,32,8192,0.4959,0.04632,0,0.8236,0.824,31
33,0.06727,0.04203,0.004405,0.1537,0.0731,0.007492,0.01026,0.1105,0.06909,0.8662,0.6495,1.209,0.004011,0.0008966,0.6026,0.1609,0.2852,0.3691,8192,0,1,0.0003425,0.9304,0.9995,0.01074,0.4945,0.3672,0.4102,0.06555,0.002555,256,7,256,32,8192,0.4954,0.04369,0,0.8231,0.824,32
34,0.06664,0.04152,0.004439,0.1529,0.07256,0.007523,0.01027,0.1101,0.06927,0.8672,0.6481,1.209,0.00395,0.0008901,0.5934,0.1607,0.2832,0.3633,8192,0,1,0.0003465,0.9304,0.9995,0.009755,0.4939,0.3652,0.4102,0.06738,0.002477,256,7,256,32,8192,0.4951,0.04604,0,0.8234,0.824,33
35,0.06637,0.04129,0.004456,0.1526,0.07234,0.007514,0.01025,0.1098,0.06917,0.8675,0.6472,1.209,0.003969,0.0008834,0.5843,0.1603,0.2852,0.3672,8192,0,1,0.0003465,0.9354,0.9994,0.01049,0.4941,0.3652,0.4102,0.06909,0.002581,256,7,256,32,8192,0.4944,0.04501,0,0.8232,0.824,34
36,0.06547,0.04054,0.004489,0.1516,0.07169,0.007523,0.01032,0.1092,0.06933,0.8687,0.6453,1.209,0.003859,0.0008766,0.5754,0.1603,0.2812,0.3672,8192,0,1,0.0002589,0.9316,0.9995,0.01038,0.4938,0.3652,0.4102,0.06738,0.002497,256,7,256,32,8192,0.4947,0.04622,0,0.8237,0.824,35
37,0.06562,0.04073,0.004521,0.1513,0.07138,0.007579,0.01033,0.1091,0.0695,0.8692,0.6449,1.209,0.00392,0.0008696,0.5667,0.1604,0.2802,0.3654,8192,0,1,0.0002987,0.9299,0.9995,0.0102,0.4942,0.3652,0.4102,0.06653,0.002476,256,7,256,32,8192,0.4956,0.04535,0,0.824,0.824,36
38,0.06461,0.03981,0.004528,0.1507,0.07105,0.007494,0.01032,0.1085,0.06908,0.8698,0.6432,1.209,0.003788,0.0008624,0.558,0.1611,0.2832,0.373,8192,0,1,0.0003067,0.9293,0.9994,0.01092,0.4941,0.3652,0.4102,0.06738,0.002515,256,7,256,32,8192,0.4956,0.0451,0,0.8233,0.824,37
39,0.06459,0.03987,0.00453,0.1503,0.07076,0.007531,0.01034,0.1084,0.06928,0.8703,0.6428,1.209,0.00378,0.000855,0.5495,0.1608,0.2832,0.3652,8192,0,1,0.0003027,0.9329,0.9995,0.01021,0.4942,0.3652,0.4102,0.06567,0.002455,256,7,256,32,8192,0.4958,0.0452,0,0.8234,0.824,38
40,0.06415,0.03948,0.004555,0.1498,0.07045,0.007579,0.01037,0.1081,0.06952,0.8708,0.6416,1.209,0.003761,0.0008475,0.5412,0.1609,0.2832,0.3633,8192,0,1,0.0003186,0.9288,0.9995,0.009758,0.4941,0.3652,0.4102,0.06738,0.002456,256,7,256,32,8192,0.4958,0.04562,0,0.8234,0.824,39
41,0.0638,0.03918,0.004586,0.1495,0.07016,0.007625,0.01034,0.1079,0.06974,0.8713,0.6411,1.209,0.003742,0.0008399,0.5329,0.1604,0.2812,0.3674,8192,0,1,0.0003186,0.9348,0.9995,0.01076,0.4939,0.3652,0.4102,0.06812,0.002524,256,7,256,32,8192,0.4959,0.04508,0,0.8237,0.824,40
42,0.06322,0.0387,0.004586,0.1489,0.06976,0.007567,0.01039,0.1075,0.06947,0.872,0.6399,1.209,0.003692,0.000832,0.5248,0.1603,0.2832,0.3652,8192,0,1,0.0003385,0.9286,0.9995,0.01029,0.4937,0.3633,0.4082,0.06738,0.002462,256,7,256,32,8192,0.4953,0.04672,0,0.8234,0.824,41
43,0.06304,0.03854,0.004607,0.1487,0.06966,0.007617,0.01038,0.1074,0.06973,0.8722,0.6395,1.209,0.003668,0.0008241,0.5168,0.1605,0.2812,0.3691,8192,0,1,0.0002549,0.9298,0.9995,0.01046,0.4942,0.3652,0.4102,0.06641,0.002424,256,7,256,32,8192,0.4955,0.04434,0,0.8238,0.824,42
44,0.06303,0.03859,0.004621,0.1484,0.06937,0.007604,0.01039,0.1071,0.06968,0.8727,0.6385,1.209,0.003688,0.000816,0.5089,0.1601,0.2793,0.3633,8192,0,1,0.0002589,0.9376,0.9995,0.009734,0.4938,0.3652,0.4102,0.06653,0.002394,256,7,256,32,8192,0.4953,0.04635,0,0.8241,0.824,43
45,0.06279,0.03842,0.00464,0.1479,0.06902,0.007607,0.0104,0.1069,0.06959,0.8733,0.6379,1.209,0.003695,0.0008077,0.5012,0.1603,0.2793,0.3613,8192,0,1,0.0002111,0.9342,0.9996,0.009585,0.4941,0.3633,0.4102,0.0658,0.002326,256,7,256,32,8192,0.4956,0.04582,0,0.8242,0.824,44
46,0.06246,0.03811,0.004652,0.1477,0.06887,0.007574,0.01038,0.1068,0.06953,0.8736,0.6374,1.21,0.003679,0.0007994,0.4936,0.1601,0.2793,0.3672,8192,0,1,0.0002509,0.9314,0.9995,0.01074,0.494,0.3633,0.4082,0.06445,0.002426,256,7,256,32,8192,0.4957,0.04487,0,0.8241,0.824,45
47,0.06239,0.03806,0.004655,0.1477,0.06882,0.007643,0.01042,0.1067,0.06984,0.8737,0.6373,1.21,0.00364,0.0007908,0.486,0.1601,0.2793,0.3654,8192,0,1,0.0002867,0.9323,0.9995,0.01037,0.494,0.3633,0.4102,0.06641,0.002441,256,7,256,32,8192,0.4945,0.04529,0,0.8241,0.824,46
48,0.06158,0.03739,0.004671,0.1467,0.06821,0.00762,0.01042,0.1061,0.0697,0.8747,0.6353,1.209,0.003555,0.0007822,0.4786,0.1604,0.2832,0.3672,8192,0,1,0.0003146,0.9294,0.9995,0.01042,0.4942,0.3652,0.4102,0.06775,0.002441,256,7,256,32,8192,0.496,0.04483,0,0.8235,0.824,47
