epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_same_finger_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_same_finger_pos_mean,val_same_finger_neg_mean,val_cross_finger_pos_mean,val_cross_finger_neg_mean,val_same_finger_neg_p01,val_same_finger_tail_gap,val_fpr_at_tpr95,val_same_finger_fpr_at_tpr95,val_cross_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_cross_finger_tpr_at_fpr_1e_4,val_same_finger_recall_at_1,val_cross_finger_recall_at_1,val_checkpoint_selection_score,val_checkpoint_selection_false_acceptance,val_checkpoint_selection_low_fpr_recall,val_checkpoint_selection_hard_negative_recall,val_checkpoint_selection_mean_gap,val_checkpoint_selection_tail_gap,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
30,0.03559,1.687e-06,0.4579,0.6132,0.1357,0.1477,0.4345,0.764,1.128,0.4345,1.103,0.4345,1.137,0.7923,0.02825,0.002258,0.005461,0.001172,0.8753,0.861,0.9967,0.998,0.8148,0.9988,0.8753,0.998,0.3511,0.05439,16384,0,0.06568,0.8242,11
31,0.0345,1.362e-06,0.4543,0.607,0.1405,0.1553,0.4326,0.7497,1.12,0.4326,1.096,0.4326,1.13,0.8059,0.05623,0.001648,0.003068,0.001082,0.9253,0.84,0.9965,0.9977,0.8252,0.9989,0.9253,0.9977,0.3486,0.0612,16384,0,0.06467,0.8242,12
32,0.03309,9.758e-07,0.4495,0.6005,0.1386,0.1517,0.434,0.7484,1.125,0.434,1.101,0.434,1.134,0.7939,0.04556,0.002645,0.006701,0.001073,0.8581,0.8552,0.9966,0.9968,0.811,0.9989,0.8581,0.9968,0.3499,0.05334,16384,0,0.06364,0.8242,13
33,0.03157,0,0.444,0.5927,0.1434,0.1562,0.4375,0.7545,1.121,0.4375,1.096,0.4375,1.131,0.7879,0.03349,0.002462,0.007744,0.0004495,0.8829,0.7425,0.9972,0.997,0.8163,0.9996,0.8829,0.9972,0.3467,0.05684,16384,0,0.06258,0.8242,14
34,0.03056,2.366e-07,0.441,0.5871,0.1436,0.156,0.4353,0.7488,1.118,0.4353,1.097,0.4353,1.126,0.7978,0.04906,0.002157,0.003124,0.001816,0.8555,0.8774,0.9969,0.9973,0.8145,0.9982,0.8774,0.9973,0.3451,0.05689,16384,0,0.0615,0.8242,15
35,0.03005,3.848e-06,0.4402,0.5832,0.1425,0.1534,0.4358,0.7596,1.121,0.4358,1.097,0.4358,1.13,0.7939,0.03425,0.002645,0.004902,0.001846,0.8931,0.867,0.9979,0.9984,0.8171,0.9982,0.8931,0.9984,0.347,0.04821,16384,0,0.0604,0.8242,16
36,0.02811,1.671e-06,0.4336,0.5751,0.1385,0.1483,0.4352,0.7507,1.125,0.4352,1.105,0.4352,1.133,0.7931,0.04237,0.002319,0.004936,0.001362,0.9172,0.8428,0.9981,0.9985,0.8236,0.9986,0.9172,0.9985,0.3488,0.0611,16384,0,0.05927,0.8242,17
37,0.02785,5.8e-08,0.4327,0.5684,0.1404,0.1517,0.4403,0.7625,1.129,0.4403,1.104,0.4403,1.138,0.7965,0.03401,0.003764,0.008619,0.00204,0.8052,0.863,0.9981,0.9968,0.811,0.998,0.863,0.9981,0.3491,0.04729,16384,0,0.05813,0.8242,18
38,0.02559,1.871e-07,0.4236,0.5595,0.1446,0.1561,0.4316,0.7501,1.114,0.4316,1.088,0.4316,1.124,0.7897,0.03959,0.003052,0.005372,0.002148,0.8594,0.8712,0.9976,0.9977,0.8122,0.9979,0.8712,0.9977,0.3463,0.04616,16384,0,0.05697,0.8242,19
39,0.02517,3.116e-07,0.4223,0.5563,0.1409,0.1481,0.4323,0.7433,1.119,0.4323,1.099,0.4323,1.127,0.7813,0.03809,0.003805,0.007395,0.002365,0.8296,0.8995,0.9979,0.9984,0.818,0.9976,0.8995,0.9984,0.3475,0.04638,16384,0,0.05579,0.8242,20
40,0.02407,4.639e-07,0.419,0.5469,0.1377,0.1483,0.4363,0.744,1.126,0.4363,1.103,0.4363,1.135,0.7729,0.02888,0.001628,0.003384,0.0009359,0.8992,0.903,0.9977,0.9983,0.8209,0.9991,0.903,0.9983,0.3496,0.06,16384,0,0.05459,0.8242,21
41,0.02296,3.088e-08,0.4152,0.5422,0.1393,0.1469,0.4396,0.755,1.129,0.4396,1.107,0.4396,1.138,0.8206,0.0656,0.001648,0.003505,0.0009513,0.8725,0.8951,0.9974,0.9973,0.8192,0.999,0.8951,0.9974,0.349,0.06096,16384,0,0.05338,0.8242,22
