epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_neg_p01,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_checkpoint_selection_score,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
64,0.2668,0.001949,0.7552,0.8676,0.2063,0.4922,0.8617,1.396,1.137,0.0001673,0.9309,0.8043,8192,0,0.02432,0.8111,34
65,0.2653,0.001911,0.7539,0.8641,0.2023,0.4793,0.8398,1.395,1.123,0.0001872,0.9316,0.8076,8192,0,0.02314,0.8111,35
66,0.2627,0.001848,0.752,0.8613,0.2045,0.477,0.8341,1.392,1.116,0.0001991,0.9319,0.8077,8192,0,0.02197,0.8111,36
67,0.2611,0.001866,0.7517,0.8647,0.2039,0.4828,0.8542,1.395,1.126,0.0002111,0.9286,0.8059,8192,0,0.02083,0.8111,37
68,0.2607,0.001839,0.7512,0.8617,0.2056,0.4863,0.8496,1.394,1.128,0.0002031,0.9387,0.8057,8192,0,0.0197,0.8111,38
69,0.2582,0.001795,0.7491,0.861,0.2029,0.4772,0.8333,1.394,1.118,0.0002071,0.9296,0.8081,8192,0,0.0186,0.8111,39
70,0.256,0.001708,0.7459,0.8578,0.2011,0.4816,0.8465,1.397,1.128,0.0002708,0.9124,0.8071,8192,0,0.01752,0.8111,40
71,0.2543,0.001711,0.7455,0.8583,0.2004,0.4782,0.8284,1.397,1.123,0.0001513,0.9347,0.8089,8192,0,0.01646,0.8111,41
72,0.2525,0.001675,0.7442,0.8552,0.2023,0.4832,0.8497,1.396,1.128,0.0002828,0.9259,0.8065,8192,0,0.01543,0.8111,42
73,0.2503,0.001613,0.7417,0.8521,0.2023,0.4843,0.854,1.395,1.132,0.0002429,0.9176,0.806,8192,0,0.01443,0.8111,43
74,0.2503,0.001626,0.7423,0.8527,0.2033,0.4785,0.8404,1.392,1.121,0.0002031,0.9349,0.8072,8192,0,0.01345,0.8111,44
75,0.2483,0.0016,0.741,0.8514,0.1999,0.4818,0.8515,1.399,1.13,0.0002589,0.9229,0.807,8192,0,0.0125,0.8111,45
76,0.2458,0.001535,0.7383,0.8497,0.2027,0.4837,0.8443,1.397,1.127,0.0002509,0.9297,0.8069,8192,0,0.01157,0.8111,46
77,0.244,0.00148,0.7363,0.8453,0.1979,0.4765,0.8443,1.398,1.123,0.0003067,0.9227,0.8083,8192,0,0.01068,0.8111,47
78,0.2426,0.001464,0.7351,0.8467,0.2016,0.4837,0.8497,1.398,1.125,0.0002549,0.927,0.8068,8192,0,0.00982,0.8111,48
79,0.2418,0.00145,0.7346,0.8446,0.2027,0.4825,0.8457,1.396,1.126,0.0003584,0.9098,0.8068,8192,0,0.00899,0.8111,49
80,0.2397,0.001433,0.7339,0.8427,0.2036,0.485,0.8445,1.396,1.128,0.000231,0.9272,0.8066,8192,0,0.008193,0.8111,50
81,0.2387,0.001385,0.7321,0.8406,0.2036,0.4842,0.8465,1.395,1.125,0.0002509,0.9266,0.8065,8192,0,0.007429,0.8111,51
82,0.2362,0.001274,0.7275,0.8344,0.1997,0.4821,0.8407,1.397,1.13,0.0002748,0.9141,0.8077,8192,0,0.006699,0.8111,52
83,0.2362,0.001352,0.7309,0.837,0.2004,0.4828,0.8475,1.398,1.129,0.0002111,0.9353,0.8072,8192,0,0.006005,0.8111,53
84,0.2337,0.001276,0.7272,0.8344,0.2038,0.4859,0.8526,1.397,1.127,0.0002748,0.9224,0.806,8192,0,0.005346,0.8111,54
85,0.2333,0.001281,0.7273,0.8347,0.2024,0.4848,0.8467,1.398,1.129,0.0002947,0.9171,0.8068,8192,0,0.004723,0.8111,55
86,0.232,0.001261,0.7259,0.834,0.2011,0.4856,0.8507,1.399,1.133,0.0002668,0.9257,0.8066,8192,0,0.004137,0.8111,56
87,0.2303,0.001207,0.7234,0.8324,0.1988,0.482,0.8385,1.399,1.13,0.0001951,0.927,0.8081,8192,0,0.00359,0.8111,57
88,0.2293,0.001212,0.7237,0.8334,0.2004,0.4858,0.8538,1.398,1.133,0.0002628,0.9242,0.8063,8192,0,0.00308,0.8111,58
89,0.2284,0.0012,0.7234,0.8305,0.2006,0.4857,0.8522,1.4,1.132,0.000235,0.9226,0.8066,8192,0,0.002609,0.8111,59
90,0.2281,0.00121,0.723,0.8338,0.199,0.4823,0.8421,1.397,1.131,0.0002389,0.9238,0.8077,8192,0,0.002177,0.8111,60
91,0.2272,0.001177,0.722,0.8301,0.1998,0.4821,0.8429,1.397,1.13,0.000219,0.9213,0.8075,8192,0,0.001786,0.8111,61
92,0.2264,0.001172,0.7215,0.8292,0.2005,0.4853,0.8482,1.398,1.133,0.0002549,0.9161,0.8069,8192,0,0.001434,0.8111,62
93,0.2254,0.001139,0.7207,0.8252,0.1987,0.4831,0.8428,1.399,1.131,0.0002111,0.9243,0.8077,8192,0,0.001123,0.8111,63
94,0.2249,0.001131,0.7191,0.8272,0.1991,0.4831,0.8426,1.398,1.131,0.000223,0.9222,0.8076,8192,0,0.0008522,0.8111,64
95,0.2253,0.001143,0.7204,0.828,0.1991,0.4827,0.8391,1.398,1.131,0.0001991,0.925,0.8079,8192,0,0.0006229,0.8111,65
96,0.2245,0.001108,0.7185,0.8257,0.1989,0.4833,0.8433,1.399,1.131,0.000219,0.9253,0.8076,8192,0,0.0004349,0.8111,66
97,0.2238,0.001095,0.7181,0.8228,0.1989,0.484,0.8463,1.4,1.132,0.000227,0.9241,0.8075,8192,0,0.0002886,0.8111,67
98,0.2241,0.001107,0.7189,0.8243,0.1994,0.4837,0.843,1.398,1.132,0.0001832,0.9261,0.8075,8192,0,0.0001839,0.8111,68
99,0.2238,0.001101,0.7184,0.8241,0.1989,0.4839,0.8472,1.399,1.132,0.000223,0.9275,0.8073,8192,0,0.000121,0.8111,69
100,0.2233,0.001102,0.7184,0.8252,0.1984,0.4837,0.8441,1.399,1.133,0.000227,0.924,0.8077,8192,0,0.0001,0.8111,70
